esik,k_frac,k,taban_oran,model_isabet,zenginlestirme
18,0.05,407,0.1196759543390205,0.4275184275184275,3.5723001323001324
18,0.1,814,0.1196759543390205,0.4582309582309582,3.828930888930889
18,0.2,1629,0.1196759543390205,0.37323511356660527,3.1187143284380854
20,0.05,407,0.02553087025899104,0.14004914004914004,5.485482422982423
20,0.1,814,0.02553087025899104,0.12653562653562653,4.956181487431487
20,0.2,1629,0.02553087025899104,0.09392265193370165,3.6787877178070545
22,0.05,407,0.0019639130968454647,0.009828009828009828,5.004299754299754
22,0.1,814,0.0019639130968454647,0.0085995085995086,4.378762285012285
22,0.2,1629,0.0019639130968454647,0.0055248618784530384,2.8131906077348066
